n_cs = 0012;
n_tp = 0006;
ris_price = 1.0000e-01;
iab_price = 0001;
ncr_price = 5.0000e-01;
budget = [ 0000, 2.0000e-01, 4.0000e-01, 6.0000e-01, 8.0000e-01, 0001, 1.2000e+00, 1.4000e+00, 1.6000e+00, 1.8000e+00, 0002, 2.2000e+00, 2.4000e+00, 2.6000e+00, 2.8000e+00, 0003, 3.2000e+00, 3.4000e+00, 3.6000e+00, 3.8000e+00, 0004, 4.2000e+00, 4.4000e+00, 4.6000e+00, 4.8000e+00, 0005, 5.2000e+00, 5.4000e+00, 5.6000e+00, 5.8000e+00, 0006, 6.2000e+00, 6.4000e+00, 6.6000e+00, 6.8000e+00, 0007, 7.2000e+00, 7.4000e+00, 7.6000e+00, 7.8000e+00, 0008, 8.2000e+00, 8.4000e+00, 8.6000e+00, 8.8000e+00, 0009, 9.2000e+00, 9.4000e+00, 9.6000e+00, 9.8000e+00, 0010];
delta_bh = [[ 0000, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001],
[ 0001, 0000, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001],
[ 0001, 0001, 0000, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001],
[ 0001, 0001, 0001, 0000, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001],
[ 0001, 0001, 0001, 0001, 0000, 0001, 0001, 0001, 0001, 0001, 0001, 0001],
[ 0001, 0001, 0001, 0001, 0001, 0000, 0001, 0001, 0001, 0001, 0001, 0001],
[ 0001, 0001, 0001, 0001, 0001, 0001, 0000, 0001, 0001, 0001, 0001, 0001],
[ 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0000, 0001, 0001, 0001, 0001],
[ 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0000, 0001, 0001, 0001],
[ 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0000, 0001, 0001],
[ 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0000, 0001],
[ 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0001, 0000]];
delta_src = [[[[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000]],
[[ 0001, 0001],
[ 0000, 0000],
[ 0000, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0000, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0000, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0000, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0000, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0001, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000]],
],
[[[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000],
[ 0000, 0000]],
[[ 0001, 0001],
[ 0000, 0000],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0000, 0001],
[ 0000, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0000, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0000, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0001, 0001],
[ 0000, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0000, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0000, 0000],
[ 0000, 0001]],
[[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
[ 0001, 0001],
